Player,G,PTS,TRB,AST
Jeff Withey,207,3.2,2.5,0.3
Luke Witte,118,3.2,3.0,0.5
Greg Wittman,60,3.5,2.0,0.3
Randy Wittman,543,7.4,1.4,2.2
Garry Witts,46,2.9,1.3,0.8
Dave Wohl,410,6.2,1.4,3.4
Joe Wolf,592,4.2,3.3,1.0
Rubén Wolkowyski,41,2.0,1.1,0.1
Nate Wolters,84,5.5,2.2,2.5
Isaiah Wong,1,2.0,0.0,0.0
Al Wood,417,11.8,3.0,1.8
Bob Wood,6,1.2,-,0.2
Christian Wood,339,13.6,7.0,1.4
David Wood,412,3.9,2.4,0.7
Howard Wood,42,3.4,1.5,0.2
Leon Wood,274,6.4,1.2,3.2
Robert Woodard II,25,1.1,1.1,0.2
Loren Woods,215,2.6,3.2,0.3
Qyntel Woods,167,4.1,2.3,0.6
Randy Woods,151,2.4,0.6,1.7
Tommy Woods,18,2.3,3.1,0.2
Mike Woodson,786,14.0,2.3,2.3
Bob Woollard,19,4.4,3.6,0.3
Orlando Woolridge,851,16.0,4.3,1.9
Haywoode Workman,359,5.5,2.3,3.9
Mark Workman,79,4.9,2.9,0.6
Tom Workman,125,6.2,2.6,0.6
Metta World Peace,991,13.2,4.5,2.7
Willie Worsley,24,6.0,1.5,1.6
Sam Worthen,69,3.5,1.7,1.7
James Worthy,926,17.6,5.1,3.0
Antoine Wright,297,5.4,2.3,1.0
Bracey Wright,26,5.0,1.5,0.8
Brad Wright,16,3.4,3.4,0.1
Brandan Wright,428,7.0,3.6,0.5
Chris Wright,32,3.7,2.0,0.3
Chris Wright,3,0.7,0.0,0.0
Delon Wright,523,6.8,3.1,3.0
Dorell Wright,549,8.4,3.8,1.5
Howard Wright,19,3.3,2.5,0.2
Howie Wright,53,4.5,1.5,1.2
Joby Wright,103,4.2,2.8,0.4
Julian Wright,231,3.9,2.3,0.8
Larry Wright,343,8.2,1.6,3.4
Leroy Wright,27,2.4,5.1,0.6
Lonnie Wright,335,10.7,2.7,1.9
Lorenzen Wright,778,8.0,6.4,0.8
Luther Wright,15,1.3,0.7,0.0
McKinley Wright IV,32,3.7,1.5,1.9
Moses Wright,4,1.3,0.8,0.5
Sharone Wright,203,9.7,5.0,0.6
Justin Wright-Foreman,4,4.8,1.3,1.8
Tony Wroten,145,11.1,2.5,3.0
Dennis Wuycik,157,4.4,2.1,0.8
A.J. Wynder,6,2.0,0.5,1.3
